Applicant_Income,Coapplicant_Income,Credit_Score,Loan_Amount_Term,Dependents,Education,Self_Employed,Property_Area,Existing_Loans,Age,loan_amount_sanctioned
6304.38,2581.57,779,360,1,Graduate,No,Semiurban,2,63,4184.2
10153.48,4086.05,321,36,0,Graduate,No,Urban,1,53,5350.65
7939.74,4000.0,648,360,0,Graduate,No,Semiurban,3,60,4875.98
14423.17,2500.0,619,360,1,Graduate,No,Urban,2,52,7063.83
3348.7,4028.26,425,360,1,Graduate,Yes,Rural,1,25,2886.33
7601.95,2500.0,576,180,1,Graduate,No,Urban,2,37,3820.82
5386.61,2660.73,503,120,0,Not Graduate,No,Semiurban,3,28,2725.49
14689.69,2549.1,493,360,3+,Not Graduate,No,Urban,3,62,5876.48
3280.83,2573.49,846,60,0,Graduate,No,Semiurban,0,54,2272.99
3229.68,66.29,585,180,0,Graduate,No,Semiurban,2,29,1879.82
3642.06,4117.35,356,180,1,Graduate,No,Urban,2,43,3363.39
1699.44,4018.1,602,180,1,Graduate,Yes,Semiurban,1,55,2059.72
3778.65,0.0,462,60,0,Graduate,No,Urban,2,27,1785.7
3362.48,4039.97,318,180,0,Not Graduate,No,Urban,0,35,2304.09
5298.59,0.0,669,360,2,Graduate,No,Semiurban,3,40,2735.34
5830.62,0.0,563,36,0,Graduate,No,Urban,3,45,2661.91
12557.65,2558.64,412,360,0,Graduate,No,Rural,0,23,5108.86
7904.69,123.83,787,12,0,Not Graduate,No,Semiurban,2,44,2891.42
3683.24,4002.13,626,120,2,Graduate,Yes,Semiurban,2,54,2719.91
3136.28,4030.88,841,12,0,Graduate,Yes,Urban,0,42,2799.16
6285.24,1670.22,364,36,3+,Not Graduate,No,Semiurban,1,31,1887.71
2539.91,24.08,591,360,1,Graduate,No,Rural,3,28,1624.12
12280.03,260.17,324,120,3+,Not Graduate,No,Urban,0,59,4152.21
8863.7,2556.55,848,120,3+,Graduate,Yes,Rural,0,63,3899.86
3887.07,6000.0,300,60,0,Not Graduate,No,Urban,2,55,2705.97
2086.9,2575.33,848,180,0,Graduate,No,Rural,3,58,1925.91
9671.48,38.12,440,180,0,Graduate,No,Urban,2,28,4294.37
4641.21,2628.98,487,120,0,Not Graduate,No,Rural,0,57,2416.76
9126.23,1567.32,427,120,2,Graduate,Yes,Semiurban,1,47,3964.41
2214.51,2500.0,500,360,0,Graduate,No,Urban,3,48,2349.53
3642.09,0.0,426,120,0,Graduate,No,Urban,0,60,2654.25
4927.67,2500.0,556,120,0,Graduate,No,Semiurban,0,54,2889.54
5031.58,1500.0,846,60,3+,Graduate,No,Rural,1,52,2177.11
3924.39,6000.0,493,360,0,Graduate,No,Urban,0,35,3535.71
6710.47,58.86,403,120,0,Graduate,No,Urban,0,64,3368.45
2881.86,2666.99,834,180,0,Graduate,No,Semiurban,3,37,2344.25
4577.05,6039.47,564,60,3+,Graduate,No,Semiurban,3,53,3932.24
5219.45,0.0,683,360,1,Graduate,No,Semiurban,3,36,2986.65
6356.41,6044.46,559,60,0,Not Graduate,No,Semiurban,2,49,3403.24
7015.01,2619.66,713,360,0,Not Graduate,No,Urban,1,29,3250.72
2800.85,0.0,657,120,0,Not Graduate,No,Rural,3,53,1510.22
2282.31,0.0,374,60,0,Graduate,No,Semiurban,2,49,1852.03
9309.94,2501.47,654,360,3+,Graduate,No,Urban,2,33,5285.9
5803.15,0.0,487,120,2,Graduate,No,Semiurban,1,41,2529.67
3380.43,1564.83,589,360,0,Graduate,No,Semiurban,1,41,2852.9
10674.1,0.0,344,360,2,Graduate,No,Urban,0,25,4681.62
5207.41,2541.95,382,360,0,Graduate,No,Semiurban,2,30,3073.05
8863.07,0.0,422,12,2,Graduate,No,Urban,3,26,3223.58
5083.52,4000.0,657,360,2,Not Graduate,Yes,Semiurban,1,33,2703.3
13771.74,6072.24,827,120,0,Graduate,No,Rural,2,21,6048.49
11821.44,6000.0,365,360,2,Graduate,No,Urban,3,40,7320.53
4339.52,2672.7,674,180,0,Graduate,Yes,Semiurban,2,28,2434.83
7988.72,0.0,461,360,0,Graduate,Yes,Rural,1,30,3518.18
6786.48,2522.47,679,120,0,Not Graduate,No,Rural,0,29,2416.05
9743.11,93.26,657,180,0,Graduate,No,Semiurban,2,61,3810.63
3033.7,0.0,487,36,2,Graduate,No,Semiurban,3,23,1220.52
6925.92,0.0,621,360,3+,Graduate,No,Semiurban,1,31,3681.7
8343.28,1500.0,749,120,1,Graduate,No,Rural,0,32,3565.2
2039.85,2626.26,773,180,2,Graduate,No,Rural,3,30,1933.63
2719.96,2500.0,312,360,2,Not Graduate,No,Urban,3,45,2473.88
1772.92,1755.82,483,180,0,Not Graduate,Yes,Semiurban,3,45,1092.06
4295.39,0.0,410,60,0,Not Graduate,No,Semiurban,2,31,1222.8
7035.83,6018.46,807,180,0,Graduate,No,Rural,1,56,3801.64
10416.83,1654.21,589,120,1,Not Graduate,Yes,Semiurban,3,59,3759.01
5100.26,1700.61,594,120,3+,Graduate,No,Semiurban,2,46,3008.79
11095.64,206.15,750,12,0,Graduate,Yes,Rural,1,34,3850.41
2465.01,2620.84,514,60,2,Graduate,No,Urban,1,59,2029.91
2097.1,2602.41,326,60,1,Graduate,No,Urban,2,60,1745.1
4780.14,59.25,530,180,1,Graduate,No,Semiurban,2,21,1889.23
5955.28,77.84,620,12,0,Graduate,No,Urban,3,24,2224.78
4835.08,2500.0,532,120,0,Graduate,No,Urban,1,50,3549.25
1748.09,2500.0,736,360,0,Graduate,No,Urban,0,32,2648.3
4700.57,0.0,832,36,0,Graduate,No,Semiurban,2,55,2185.68
2560.01,6000.0,702,180,0,Not Graduate,No,Rural,1,33,2247.46
6869.43,0.0,352,360,1,Not Graduate,No,Semiurban,1,51,2579.64
5903.49,1569.64,612,360,0,Not Graduate,No,Semiurban,3,58,2942.8
3071.93,6095.53,580,180,2,Graduate,No,Urban,0,63,3434.89
3801.18,1508.84,330,180,1,Graduate,No,Rural,3,43,2355.74
2894.0,2647.75,636,360,1,Graduate,Yes,Rural,0,24,2036.93
4763.13,0.0,482,120,0,Graduate,Yes,Semiurban,0,36,2351.16
7923.36,0.0,322,360,1,Graduate,No,Urban,2,27,3679.09
3002.31,6000.0,843,12,3+,Graduate,No,Urban,1,42,2972.69
6323.47,1500.0,745,360,0,Graduate,No,Urban,1,49,4323.89
3770.15,4000.0,373,120,0,Not Graduate,Yes,Semiurban,1,31,2131.14
3306.23,0.0,309,180,2,Graduate,No,Rural,0,53,1739.66
4658.67,151.34,783,60,0,Graduate,No,Rural,1,49,2286.21
2928.89,63.08,755,180,0,Graduate,No,Semiurban,2,59,1666.98
3726.32,2500.0,459,36,0,Not Graduate,No,Rural,0,32,1920.21
2700.15,185.41,313,360,0,Not Graduate,No,Rural,0,27,1329.78
13126.16,4122.1,477,360,1,Not Graduate,No,Urban,0,59,5677.66
5002.19,1558.21,711,60,0,Not Graduate,No,Semiurban,0,62,1885.67
3463.85,6000.0,352,360,2,Graduate,No,Rural,2,46,3291.88
5469.76,0.0,707,360,2,Graduate,No,Urban,1,60,3344.01
4646.34,4000.0,321,180,1,Graduate,No,Rural,2,29,3121.15
4400.68,2608.87,329,120,1,Graduate,No,Rural,1,61,2853.63
6681.4,2688.46,559,60,2,Graduate,No,Semiurban,2,54,3505.46
7177.84,4154.32,504,60,0,Graduate,Yes,Rural,3,33,3426.9
3769.7,2500.0,358,120,2,Not Graduate,No,Semiurban,3,56,2385.79
3685.24,2500.0,770,360,2,Not Graduate,No,Semiurban,3,45,2314.74
4283.28,14.09,765,36,2,Not Graduate,No,Urban,3,44,1583.89
1554.7,0.0,311,360,1,Not Graduate,No,Urban,0,64,1046.2
2304.01,6032.32,589,120,0,Graduate,No,Urban,0,37,2986.39
9734.55,2500.0,653,180,0,Graduate,No,Semiurban,2,22,4080.69
11186.73,2500.0,374,360,2,Graduate,No,Urban,2,33,5616.33
4339.36,1500.0,740,360,0,Graduate,No,Urban,3,51,3446.25
6556.93,51.36,540,120,2,Graduate,Yes,Urban,1,49,2455.49
5742.36,0.0,453,120,0,Graduate,No,Semiurban,3,48,2958.79
22912.56,2500.0,395,120,0,Not Graduate,No,Rural,2,47,6330.6
8602.32,1500.0,593,12,0,Graduate,No,Rural,3,35,3325.99
4610.27,0.0,508,60,0,Graduate,No,Semiurban,2,51,2090.25
3047.97,1677.23,642,120,1,Graduate,No,Rural,3,60,1647.63
2201.24,166.13,387,120,0,Graduate,No,Semiurban,1,35,1196.04
5441.07,1500.0,689,180,3+,Graduate,Yes,Semiurban,3,53,3479.17
3367.16,0.0,624,120,1,Graduate,Yes,Semiurban,1,40,1471.23
2413.6,2546.88,456,120,0,Not Graduate,No,Urban,1,62,1498.3
3557.15,0.0,436,120,1,Graduate,No,Rural,2,32,1638.46
2861.86,1530.18,727,180,2,Graduate,No,Semiurban,1,57,2305.9
11425.13,76.61,751,360,2,Graduate,No,Semiurban,0,29,4868.72
7637.46,122.69,440,180,0,Graduate,No,Semiurban,0,43,3436.57
4895.22,0.0,382,360,2,Not Graduate,No,Urban,0,28,2331.09
10300.75,1500.0,476,60,2,Graduate,No,Urban,2,52,4573.7
5108.62,2500.0,497,180,0,Not Graduate,No,Semiurban,0,34,2455.48
3195.05,0.0,720,120,0,Graduate,No,Urban,2,47,2189.67
10525.56,2500.0,700,120,1,Not Graduate,No,Semiurban,2,45,3589.92
6434.66,4036.74,770,180,0,Graduate,No,Semiurban,0,33,3354.16
2925.96,2591.36,517,360,2,Graduate,Yes,Semiurban,1,41,2769.49
4468.6,0.0,474,36,0,Graduate,No,Semiurban,3,51,2725.96
3172.23,1649.27,322,180,3+,Graduate,No,Semiurban,2,57,2367.73
2461.68,0.0,534,180,1,Graduate,Yes,Semiurban,0,63,1820.92
7809.44,0.0,312,36,0,Graduate,No,Semiurban,2,25,2893.41
12768.14,6000.0,400,60,0,Graduate,No,Rural,1,33,6049.7
2442.35,0.0,835,120,1,Graduate,No,Semiurban,1,48,1620.48
6512.54,1588.4,822,60,2,Graduate,Yes,Rural,0,63,2920.12
3549.91,2573.68,751,60,2,Not Graduate,No,Urban,2,45,2248.66
3852.34,2500.0,730,60,0,Graduate,No,Semiurban,3,55,2503.02
3654.82,1506.7,832,120,0,Graduate,No,Rural,3,59,1925.54
3190.73,51.59,592,180,0,Graduate,No,Semiurban,2,27,1969.67
5035.46,0.0,400,180,1,Not Graduate,No,Urban,2,58,2004.3
3243.88,1500.0,801,360,0,Graduate,Yes,Semiurban,2,52,2342.26
5626.42,79.43,603,120,0,Graduate,Yes,Urban,0,23,2983.47
4792.85,0.0,839,360,1,Not Graduate,No,Urban,1,59,2395.55
4361.3,29.36,654,360,3+,Graduate,No,Rural,3,57,2610.23
3121.97,0.0,602,180,0,Graduate,No,Semiurban,0,42,1903.7
3683.48,46.64,795,120,0,Graduate,No,Urban,2,28,1718.87
7170.25,0.0,526,360,1,Graduate,Yes,Rural,2,37,3174.48
6313.58,1500.0,535,60,1,Graduate,No,Rural,1,47,2918.11
3014.6,2616.47,754,120,0,Graduate,No,Semiurban,2,53,2315.94
5165.03,4000.0,312,180,3+,Graduate,No,Urban,0,37,3724.94
7155.91,0.0,509,180,2,Not Graduate,Yes,Rural,0,62,2183.09
2133.03,20.06,696,12,0,Graduate,No,Semiurban,1,32,1000.0
6449.0,114.86,399,360,0,Graduate,No,Semiurban,0,47,3085.07
3528.71,2500.0,330,180,1,Graduate,No,Rural,3,28,2237.81
6537.43,2506.17,827,120,2,Graduate,No,Semiurban,0,43,3502.38
3355.55,42.88,628,360,0,Graduate,No,Urban,0,62,3004.51
1993.32,6069.31,465,120,1,Graduate,No,Semiurban,0,49,2903.85
2178.14,17.64,758,360,1,Not Graduate,No,Urban,3,40,1330.39
5034.36,1500.0,399,180,0,Not Graduate,No,Rural,2,36,2003.79
5596.3,2500.0,472,36,1,Graduate,No,Semiurban,0,37,2680.41
3127.04,4008.61,461,360,3+,Graduate,Yes,Urban,1,36,3054.78
6763.5,2500.0,562,180,0,Graduate,Yes,Semiurban,3,39,3538.47
2141.45,4000.0,573,360,0,Graduate,No,Urban,1,28,2875.63
4755.04,43.66,302,360,0,Graduate,No,Urban,0,58,3348.34
2682.47,4090.39,327,360,2,Graduate,No,Semiurban,1,58,3797.6
3547.8,0.0,625,180,3+,Graduate,No,Urban,0,49,2380.5
5032.64,4000.0,448,360,0,Not Graduate,No,Rural,3,61,3081.43
3196.44,1561.92,839,180,2,Not Graduate,No,Urban,1,56,2651.74
4055.07,4205.75,787,120,1,Graduate,No,Semiurban,1,46,2921.29
8128.62,1502.08,737,360,1,Graduate,No,Rural,0,51,4003.87
3683.26,2500.0,364,60,0,Graduate,Yes,Semiurban,0,64,2390.31
7463.99,1500.0,655,180,0,Graduate,Yes,Semiurban,2,32,3633.88
2793.77,2637.49,832,360,0,Graduate,No,Rural,0,37,2548.48
6405.43,0.0,551,180,1,Graduate,Yes,Urban,0,35,2711.04
10104.99,0.0,534,180,0,Graduate,No,Urban,2,29,4280.33
1428.21,0.0,526,360,3+,Graduate,No,Semiurban,0,59,2061.87
3299.59,0.0,824,120,0,Graduate,No,Urban,0,62,1854.28
6558.62,4012.27,612,360,0,Graduate,No,Rural,2,32,3620.77
4440.3,162.47,348,60,1,Graduate,No,Urban,3,52,2026.24
5916.93,6032.31,417,36,2,Not Graduate,No,Rural,3,45,2898.61
3633.7,0.0,353,60,0,Graduate,No,Rural,0,59,2093.51
5132.23,0.0,343,180,0,Graduate,No,Urban,0,38,2106.6
4546.72,2500.0,352,180,3+,Graduate,No,Semiurban,2,35,2856.25
8812.19,2588.31,824,360,0,Graduate,No,Urban,2,52,4872.81
5581.49,1500.0,401,120,0,Graduate,No,Semiurban,3,26,2987.51
5818.52,1500.0,697,120,2,Graduate,Yes,Urban,1,64,3198.38
4000.05,2819.31,437,12,0,Graduate,No,Rural,0,63,2514.2
3851.42,29.88,686,120,0,Not Graduate,No,Rural,1,55,1532.06
3958.9,6000.0,410,180,0,Graduate,No,Urban,1,54,4148.15
5986.28,6000.0,316,12,0,Graduate,No,Urban,2,58,4782.24
3981.87,2614.84,481,60,0,Graduate,No,Rural,0,25,1901.38
5681.03,11.33,835,60,0,Graduate,No,Urban,0,38,2433.8
13873.01,2500.0,840,12,0,Graduate,No,Rural,2,36,5309.56
7597.41,91.92,470,120,0,Graduate,No,Semiurban,1,28,2941.63
4175.5,0.0,708,60,2,Graduate,No,Semiurban,2,45,2280.52
8960.73,187.33,677,180,0,Graduate,No,Rural,3,52,3866.78
4007.66,1608.0,487,360,0,Graduate,No,Semiurban,0,46,2791.3
1773.9,4000.0,529,180,2,Graduate,No,Rural,3,42,1925.33
2968.93,2628.1,418,360,1,Graduate,No,Rural,2,51,2485.16
1928.7,2506.79,455,120,0,Graduate,Yes,Urban,0,63,2181.52
4122.62,1585.28,764,180,3+,Not Graduate,No,Urban,3,30,2109.19
4960.24,48.47,403,360,0,Graduate,No,Rural,3,32,1851.23
11364.15,0.0,801,60,0,Graduate,No,Rural,1,48,3867.15
5787.55,6000.0,474,360,2,Graduate,No,Urban,0,26,4503.09
4404.8,103.0,720,12,1,Graduate,No,Rural,3,40,1608.78
7440.57,4000.0,433,120,0,Graduate,No,Semiurban,3,25,3248.42
1626.9,1500.0,690,36,0,Not Graduate,No,Urban,1,43,1000.0
5529.25,1500.0,800,180,1,Graduate,No,Rural,3,29,2323.18
7225.94,2542.36,332,180,0,Graduate,No,Urban,3,49,4017.33
2346.56,1706.25,354,180,3+,Graduate,No,Rural,3,36,1600.04
8706.95,4000.0,818,120,0,Graduate,No,Urban,1,42,4727.09
5821.12,6002.42,311,120,2,Graduate,No,Semiurban,3,28,4106.66
3993.23,1641.22,827,12,1,Graduate,No,Urban,3,40,2556.23
6743.88,0.0,672,120,2,Graduate,No,Semiurban,0,34,2985.09
15296.0,1545.24,783,360,2,Graduate,No,Semiurban,0,59,6938.59
5382.63,6000.0,527,120,1,Graduate,No,Urban,1,57,4095.93
5564.21,42.83,606,360,0,Graduate,No,Semiurban,2,54,2954.58
3906.2,2500.0,756,360,0,Graduate,No,Semiurban,0,31,2585.96
3213.38,2598.57,459,120,0,Graduate,No,Urban,1,60,2635.95
7444.03,2618.74,630,180,2,Graduate,No,Rural,3,53,3858.03
3203.37,258.96,524,36,2,Graduate,No,Urban,3,51,2165.67
5093.82,2557.96,803,36,0,Graduate,No,Semiurban,1,64,3089.55
3870.63,6032.58,755,12,0,Graduate,Yes,Semiurban,3,54,3344.67
6244.71,19.44,344,180,0,Graduate,No,Semiurban,3,27,1996.85
5807.07,0.0,513,120,1,Graduate,Yes,Urban,2,43,2531.93
8256.61,6033.85,358,180,0,Graduate,No,Semiurban,3,27,4731.99
3808.5,0.0,494,180,2,Not Graduate,No,Semiurban,0,45,2045.9
4294.38,4016.85,788,120,3+,Graduate,No,Semiurban,3,23,3048.15
3012.78,1631.76,456,180,0,Graduate,Yes,Rural,1,58,2155.03
3935.74,0.0,525,360,0,Graduate,No,Semiurban,2,40,2538.57
5935.17,4113.99,711,12,0,Graduate,No,Urban,3,54,3801.67
